采样点编号,岗位,日接触时间,每周工作天数,基准值
2,晶体生长部-熔盐车间A1-7F,1,5,68.5
5,晶体加工部-粗磨车间A1-6F,7,5,72.3
6,晶体加工部-粗磨车间A1-6F,7,5,70.1
7,晶体加工部-粗磨车间A1-6F,7,5,71.7
14,晶体加工部-手抛车间A1-6F,7,5,66.4
15,晶体加工部-手抛车间A1-6F,7,5,64.4
16,晶体加工部-手抛车间A1-6F,7,5,57.5
17,晶体加工部-手抛车间A1-6F,7,5,56.8
19,晶体加工部-机抛车间A2-6F,7,5,66.5
20,晶体加工部-机抛车间A2-6F,7,5,67.2
21,晶体加工部-机抛车间A2-6F,7,5,64.5
22,晶体加工部-机抛车间A2-6F,7,5,64.2
25,晶体生产管理部-品检组A2-6F,3,5,75.2
28,光学制造部-成形车间A2-2F,7,5,75.8
29,光学制造部-成形车间A2-2F,7,5,76.2
31,光学制造部-成形车间A2-1F,7,5,76.8
32,光学制造部-成形车间A2-1F,7,5,76.4
35,光学制造部-球面车间A1-4F,7,5,68.2
36,光学制造部-球面车间A1-4F,7,5,67.9
37,光学制造部-球面车间A1-4F,7,5,72.5
38,光学制造部-球面车间A1-4F,7,5,73.9
39,光学制造部-球面车间A1-4F,7,5,64.2
40,光学制造部-球面车间A1-4F,7,5,69.8
44,光学制造部-柱面车间A1-3F,7,5,71.8
45,光学制造部-柱面车间A1-3F,7,5,72.4
46,光学制造部-柱面车间A1-3F,7,5,74.2
47,光学制造部-柱面车间A1-3F,7,5,73.8
49,光学制造部-平面车间A2-3F,7,5,70.8
50,光学制造部-平面车间A2-3F,7,5,71.3
51,光学制造部-平面车间A2-3F,7,5,72.6
52,光学制造部-平面车间A2-3F,7,5,72.3
56,光学制造部-平面车间A2-3F,7,5,74.7
59,光学制造部-平面车间A2-3F,7,5,79.8
61,镀膜中心A1-2F,7,5,77.3
62,镀膜中心A1-2F,10,5,78.9
65,镀膜中心A1-2F,7,5,74.8
66,镀膜中心A1-2F,0.2,5,82.1
67,镀膜中心A1-2F,0.2,5,82.4
70,器件生产部,6,5,70.4
75,器件工程部-器件品检组,1,5,73.4
77,辅助生产单元,0.1,5,71.5
78,辅助生产单元,0.1,5,74.2
79,辅助生产单元,0.1,5,72
81,晶体加工部-切割车间D-1F,7,5,79.2
82,晶体加工部-切割车间D-1F,7,5,78.9
83,晶体加工部-切割车间D-3F,7,5,79.1
84,晶体加工部-成形车间D-2F,7,5,67.4
85,晶体加工部-成形车间D-2F,7,5,79.6
86,晶体加工部-成形车间D-2F,7,5,67.1
87,晶体加工部-成形车间D-2F,7,5,79.3